comment,like
连续三年在这个时候刷到你了，大数据是个神奇的东西，其他季节都没见过你[doge],11655
《论季节区up的绝对音准》[doge],9518
《论季节区up的绝对音准》[doge],9517
高音区由于冰块磨损逐渐偏高hhh，到后面就会感觉左边大冰音低了,7908
"23.12.22 冬至 版本说明：
1.大热曲目《奢香夫人》
2.新增长键“S”型判定，请认真拖尾
3.键型更新为9键
4.“绝对音感”、“王の不冻之手”常驻成功，可自定义冰块形状与服装[doge]",7467
"[笑哭]每当我刷到up的视频的时候，都有些时光流逝的感觉。
平时还没啥感觉，一天一晃就过去了。
但这个时候，多多少少会感慨，这TMD一年又过去了。",6597
我还以为是手套原来是手冻紫了，辛苦up啦,6307
问问up，在录的时候，冰块有没有掉下去过哈哈哈哈[喜极而泣],6286
去实地探访了下，up的乐器已经化了[大哭][大哭],6058
B站纪年方式:看up划拉冰、看手艺贾腌酸菜、看敬汉卿卤鸵鸟蛋，还有的欢迎补充[doge],4677
啊？有没有内行人解释下什么原理啊……真的绝对音感！[脸红],1006
季节限定冰块演奏可以迟到，但不会缺席。一大早天亮前，敲出音高合适的冰块（无后期调音），天蒙蒙亮的时候录的视频，光线较暗，画质感人(doge)中间划错了两个的地方后期剪掉了（doge)喜欢给个三连,1002
既然能这样，那两块冰一起推是不是可以做和弦[脸红],621
老一辈冰术家的从容[doge],490
怎么又过去了一年啊[抓狂],415
尊贵的季节性up主又回到了他忠诚的B站,361
当我看到这个视频就意识到冬天到了,255
刷到你我就知道又过了一年了 md真快[笑哭],113
限时返场！,47
[脱单doge],10
完全没有音感和音律的人羡慕了 我就会听哪个排气好听[tv_doge],7
终于想起来为什么关注你了[脱单doge],6
刷到你我就知道一年又要结束了,1
