comment,like
"从娜维娅在龙王办公室里哭的那里就被娜维娅深深的吸引，她会在刺玫会经济最紧张的时候仍然请我们去枫丹最好的饭店吃饭。她很有责任感和勇气，很喜欢她的那句：“我要给所有人一个交代”。刺玫会并没有足够的力量去抗争对手，但她仍然选择正面迎击敌人，娜维娅从小就失去了母爱，在父亲的照看下成长，她本该在温暖的环境中成长，但这也成就了她的未来，看到命座是野蔷薇就想到了那句家花不如野花香，艰苦的环境带给了她与其他大小姐的与众不同，一般我们所认为的大小姐都是享受生活，快快乐乐的度过每一天，但是她却每天都在为了刺玫会而努力奋斗，一刻也不停歇，她就像野蔷薇一样，外表很美丽，但是也是带有刺的。她的乐观也深深打动了我，在坟前对迈乐斯和西尔弗的惋惜和无助。她变得逐渐成熟了起来，足以担当起刺玫会的当家，她的努力也得到了民众的认可，相信娜维娅会在之后也会大放光彩，也希望她今后人生上的坎坷也少一些，这么一个乐观坚韧大方的大美女谁又能不爱呢？
最后也祝各位旅行者抽娜维娅不歪！单抽出奇迹！！！[打call][打call][打call][打call]",11716
"这运镜太有技术了，尤其是开头追击那一段，很有电影感，我愿称娜维娅一声  （
刺玫会很有自己的组织风格[大笑]按我惯有思维一开始本以为会是那种严肃狠戾的组织，可现在看来有些搞笑的风格已经成为认知标志了，塑造得很不错",11038
版本PV的娜维娅配乐有一种，贵族大小姐站在花田里的感觉，而这次角色演示的则有一种“教父”的感觉了，不愧是刺玫会[笑哭],7839
"娜维娅，一个拥有一斗开朗乐观，不服输，又同时兼备久岐忍的能力，完美老板。
感觉只是站在娜维娅的边上，就会被她那股由内而外的光芒所照耀。
上一个给我这种感觉的，是传说任务第二章里的宵宫。
那种就像，一束光照进了心里。
和白月光的梦幻不同。
这束光，就像初春的太阳。温暖且朝气蓬勃。
这可能就是所谓的人格魅力吧。",7720
英配好多电影梗，伞弹枪的那句“This one got your name on it”是美国当年西部片很爱用的意指是祸躲不过的俚语，类似于“命中注定杀死你的子弹”,6661
为什么娜维娅每次战斗完之后都要把雨伞送给旅行者，自己去拿把新的吗？因为弹药打完了，所以伞弹枪是“空”的。,6567
娜维娅的大炮这么炫酷，大炮后面应该有两个纯水精灵在帮着装填发射吧😎,3366
"该角色演示包含以下内容：
（看通缉令）
立绘展示
（追人）
普攻4收尾
普攻3段+收尾
普攻4+收尾
待机1
无弹药e+荒芒
重击
有弹药e
（水陆空追人）
Q
有弹药e
待机2
（原神标[OK]）",3336
"刺玫会办事效率很高，但动静和成果往往成比例提升。
偶尔场面搞得太大，就会有美露莘警官出面掩护：「各位请勿慌张，这只是在拍摄最新的犯罪映影！」

中文CV：
娜维娅——小敢
琳妮特——可可味

日文CV：
娜维娅——丰崎爱生
琳妮特——篠原侑",3280
这次PV有种姜文的戏剧感，自从有了变焦镜头后PV运镜与镜头语言真是越来越好了 分镜有了很多大广角设计 更有电影感 针不戳[OK],2999
南欧的音乐风格，有意大利黑手党的感觉，伊比利亚半岛风情音乐!,2803
现在回想起来，娜维娅竟然不是传统的金发傲娇大小姐，还挺神奇的，这就是米哈游独有的角色塑造把。,2482
"众所周知，盗宝团会炼制药水，可以推测海影跑得那么快应该是用了速度药水，配方已经被我们研究出来了：兔子腿+地狱疣+水

（一位路过的墨镜哥[墨镜]留下了这份奇怪工作报告）",2441
"刺玫会办事效率很高，但动静和成果往往成比例提升。
偶尔场面搞得太大，就会有美露莘警官出面掩护：「各位请勿慌张，这只是在拍摄最新的犯罪映影！」

中文CV：
娜维娅——小敢
琳妮特——可可味

日文CV：
娜维娅——丰崎爱生
琳妮特——篠原侑",1225
"强烈建议原神尘歌壶里可以放置料理（就像画框里能放邀约任务画片一样）
等过年的时候在壶里摆几十张桌子的年夜饭，再邀请好友来壶里做客过年！！！
（请大家复制粘贴转发这段话，争取让米哈游看到，争取今年海灯节之前出尘歌壶料理摆放系统！！！）",913
有一说一，这次角色演示短片的惊艳部分还得是开场娜维娅优雅撑伞轻吻苹果伺机而动后徐徐展开的音乐转折处，和最后自己身为舞台女主般风度翩翩地大招全开克敌制胜的超神转场配上音乐高潮的双重奏激越澄清金声玉振，bgm瞬间拔云睹日气贯长虹引人入胜，与娜维娅绰约多姿颜如舜华风华绝代却又不失英姿飒爽秀外慧中的绝美形象完美契合分毫不差，确是精妙绝伦值得细品[脱单doge],838
娜维娅的大炮这么炫酷，大炮后面应该有两个纯水精灵在帮着装填发射吧😎,431
"为什么娜维娅每次战斗前都要把雨伞送给旅行者，自己去拿把新的吗？因为弹药都没打，所以伞弹枪是“盈(荧)”的。 
借鉴某个赛诺的[doge]",372
如果下落攻击是撑着伞用腿踢就好了，像弓箭手下落攻击用腿那样,258
版本PV娜维娅出场那段BGM好青春活力的感觉，这里的角色演示PV好像是另一种风格,252
