comment,like
白衣的荣耀！羊村的骄傲！！,55414
第一个嘉宾npc诞生了好诶！[难过],30257
"一个被粉丝弄走了
一个刚来就没了
一个好不容易走了又被摇回来了[笑哭]",28695
那天我瘦了三斤！,17166
这期拍的不错，表扬下老板小潮院长哈。（开玩笑的）,16360
等等，那如果马哥第四期走了，他是不是可以把高斯叫回来[思考],11247
《开局不到十五分钟，咱奶就成功逃离了羊村》[喜极而泣],9443
身份证是不丢羊村了！！！,8861
《一念神魔》,5438
观后感:小老师在短暂的一天，竟收获了数不胜数人山人海奇奇怪怪的一堆称呼[吃瓜],4200
照这个趋势下去，过年可有的看了[脱单doge],2983
我做的雪玫瑰送给小狗[脱单doge],2321
超级无敌寻龙尺plus版,2131
欢迎小精灵！！羊村因你的加入而更美好！许愿一个雀巢工作室，真的好期待两大工作室对撞能擦出怎么样的火花[doge],2107
不知道你们还记不记得第二季最后马哥说：输了的人并不是留在羊村，但是在第三季的时候会比较惨，但我也没看到惨在哪呀[喜极而泣],1613
what’s up这么远,1509
正想说马哥走了播放量得少一大截，结果看到最后哈哈哈哈哈🤣🤣🤣,1384
现在长视频环境越来越差，羊村却没有比往季短，反而让我第一次看到马哥一个小时的视频，真的很用心[给心心][给心心][给心心],1358
我早就能走了 跟这帮人闹着玩呢 降维打击你们懂吗兄弟们 ！[doge],1075
好家伙，原来第一期开头就留下了伏笔,281
预言家但只预言对了一半[微笑][微笑][微笑],132
我天今天生日一打开就看到这个  好爽好爽😭🤲🏻,70
哈哈哈，恭喜马哥，愿望成真！[打call][打call][打call],19
我发布了一篇笔记，快来看看吧~,17
高斯，立刻返回羊村[doge][doge][doge],11
wc！高子真的完成了！,3
来了,2
