comment,like
千亿人血书，底下人发起支持，俺有钱打榜,6618
最后狮姐回头的那一段，是不是也表明了狮兄是她的梦中情狮呢，不然无缘无故的站定脚步回头干嘛,5744
真想创造一个所有人都能得到幸福的世界,4802
既然是漫画，那不妨画的大胆一点吧，我不希望连在这里都是充满遗憾的,2510
一切不在言中，而在眼内。,2424
秒5既视感,1702
救命[大哭][大哭],1412
狮子最后一个遇到的才是在公交车上看见的那个啊，下一期我就要看见他俩在一块[doge],1196
好漂亮呀，以后还会有戏份吗[初音未来_大笑],419
狮兄，家里不是小卖部是中型超市的算吗[脱单doge],259
哥们叫雷锋！,200
"这一幕，是错过，是借过。
错过是梦中所念，心中所爱
借过是抱歉，虽没联系，但还是借过一下，因为我挡着你的人生了",170
                       至此已成艺术,133
情头(应该吧阿巴阿巴),90
哥，每期视频三连换狮兄幸福不过分吧[笑],62
拿走不谢[墨镜],38
野哥，你要是真不想给狮兄配妹子，实在不行把狮兄变女的配给鸡哥也行阿[笑哭],33
这一幕我感觉真的好神！！狮子的表情因为那个耳朵，所以显得像是苦笑，但仔细看又不是 带点无奈的那种 画工真的好好啊！！！,29
简单一弄，大家自取。,27
怎么说兄弟们,14
结尾居然是秒五彩蛋诶[大哭][大哭],13
长发，白裙，我也有啊[可爱小黄豆_玫瑰],13
啊，，梦中情人的要求重点不是开小卖部吗,2
